Element Symbol,Element Name,Discovery Year,Atomic Number,Atomic_Mass,Electron Configuration,Common Isotopes,State,Melting_Point,Melting Point (°F),Melting Point (K),Boiling_Point,Density,Color/Appearance,Conductivity,Hardness/Malleability,Reactivity,Electronegativity,Ionization_Energy,Valency,Oxidation States,Atomic_Radius,Metallic_Character,Radioactivity,Nuclear Stability,Half-Life,Magnetism Type,Magnetic Susceptibility,Emission/Absorption Spectra,Spectral Lines,Biological Role,Environmental Behavior,Allotropes,symmetry,volume,Compounds,is_metal
Sn,Tin,Ancient,50,118.71,[Kr] 4d¹⁰5s²5p²,Sn-120;Sn-118,solid,231.93,449.474,505.08,2602.0,7.0035,White (β); gray (α),High (white),Malleable (white),Moderate,1.96,7.344,"2,4",+4;+2,158.0,Post-transition metal,Low (Sn-126),Stable,Unknown,Diamagnetic,-3.2×10⁻⁵ cm³/mol,Blue-white,286.3 nm,"Solders, bronze",Organotins toxic,"White (β), gray (α)",Fd-3m,70.8975063415447,"['SnGe3', 'SnF3', 'SnO2', 'Al3Sn', 'Zn3Sn', 'USn', 'SnF2', 'SnAu3', 'Tc3Sn', 'SnPt', 'In3Sn', 'SnPb3', 'Ce3Sn', 'SnCl4', 'Hf3Sn', 'SnGe', 'Tl4Sn', 'Mg2Sn', 'CoSn', 'MnSn', 'Mg15Sn', 'Fe3Sn', 'Sc3Sn', 'SnF4', 'SnTe', 'Na2Sn', 'ZrSn', 'TlSn', 'SnRh', 'Mg3Sn', 'Ni3Sn', 'SnAu', 'Tl3Sn', 'LiSn', 'NaSn', 'SnCl2', 'SnO', 'Sn', 'Ca3Sn', 'SnBr2', 'HfSn', 'Re3Sn', 'Mg7Sn', 'KSn', 'Zr2Sn', 'Zr5Sn', 'Co2Sn', 'Mn2Sn', 'SnAs3', 'Lu3Sn', 'SnSe', 'Er3Sn', 'SnSe2', 'SnP3', 'SnCl', 'Fe2Sn', 'SiSn', 'Ga3Sn', 'SnP', 'SnI2', 'SnH4', 'SnBi', 'CuSn', 'SnPb', 'SnSb', 'SnI3', 'Y3Sn', 'ScSn', 'Ag3Sn', 'SnPd3', 'Eu3Sn', 'Na3Sn', 'Cu3Sn', 'Tm3Sn', 'Co3Sn', 'Mg149Sn', 'SnI4', 'Mn3Sn', 'Zr3Sn', 'MgSn', 'Ti2Sn', 'Ti3Sn', 'V3Sn', 'Yb2Sn', 'SnIr3', 'AlSn', 'SnBi3', 'SnB', 'SnRh3', 'SnS2', 'SnB6', 'RbSn', 'SnAu5', 'FeSn', 'SnIr', 'SnHg3', 'CsSn', 'YSn', 'SnBr4', 'SnC', 'CdSn', 'SnS', 'Mg5Sn']",Metal
Sb,Antimony,Ancient,51,121.76,[Kr] 4d¹⁰5s²5p³,Sb-121;Sb-123,solid,630.63,1167.134,903.78,1587.0,6.697,Gray metallic,Low,Brittle,Moderate,2.05,8.608,"3,5",+3;+5;-3,145.0,Metalloid,Unknown,Stable,Unknown,Diamagnetic,-9.9×10⁻⁵ cm³/mol,Blue flame,259.8 nm,Flame retardants,Semi-toxic,"Gray, black, yellow",R-3m,62.881010949113254,"['SbF4', 'Sr2Sb', 'SbPd', 'SbIr', 'VSb', 'K3Sb', 'ZrSb', 'Mg5Sb', 'Sb', 'TmSb', 'GaSb', 'USb', 'Sc2Sb', 'PrSb', 'Ho3Sb', 'BSb', 'SbI3', 'Zn3Sb', 'Ce2Sb', 'SbBr3', 'SbH3', 'Li3Sb', 'Bi3Sb', 'Ag3Sb', 'Sm2Sb', 'Ca2Sb', 'SbF6', 'Mg3Sb', 'SbF5', 'Cu2Sb', 'Zr2Sb', 'SbAu3', 'KSb', 'NiSb', 'SbS2', 'SbN9', 'Mg149Sb', 'NbSb', 'CsSb', 'Tl3Sb', 'Ge3Sb', 'CrSb', 'SbPd3', 'GeSb', 'InSb', 'Mg7Sb', 'Nd2Sb', 'Pr2Sb', 'PuSb', 'BiSb', 'Rb3Sb', 'Cu3Sb', 'SbPb3', 'Li2Sb', 'CeSb', 'MnSb', 'SbPb4', 'Mg2Sb', 'MgSb', 'DySb', 'SbCl5', 'Hg3Sb', 'Mn3Sb', 'HfSb', 'LuSb', 'Mn2Sb', 'In3Sb', 'Y3Sb', 'NpSb', 'La2Sb', 'SbO3', 'SbPt3', 'Ti3Sb', 'SbAs', 'SnSb', 'YSb', 'Eu3Sb', 'Ti2Sb', 'Sc3Sb', 'RbSb', 'Nb2Sb', 'HoSb', 'FeSb', 'TlSb', 'LaSb', 'Ni3Sb', 'SbRh3', 'SbTe2', 'Mg15Sb', 'CoSb', 'SbS', 'ThSb', 'SbO2', 'Na3Sb', 'ErSb', 'Ba3Sb', 'TiSb', 'AlSb', 'SbPt', 'Ba2Sb', 'SbTe', 'Fe3Sb', 'ScSb', 'Pa3Sb', 'NaSb', 'Sn3Sb', 'SbN', 'NdSb', 'Ga3Sb', 'In2Sb', 'Zr3Sb']",Non-metal
Te,Tellurium,1782,52,127.6,[Kr] 4d¹⁰5s²5p⁴,Te-130;Te-128,solid,449.51,841.118,722.66,988.0,6.24,Silvery-white,Low (semiconductor),Brittle,Moderate,2.1,9.01,"2,4,6",+6;+4;-2,142.0,Metalloid,Unknown,Stable,Unknown,Diamagnetic,-3.9×10⁻⁵ cm³/mol,Violet,214.3 nm,"Solar cells, alloys",Semi-toxic,"Gray, amorphous",P3_121,108.19281571621227,"['TeMo', 'Nb3Te', 'Ti3Te', 'TiTe', 'BaTe', 'TeO4', 'TeAs2', 'GeTe', 'TeI7', 'TlTe', 'Ba3Te', 'MgTe', 'BeTe', 'BiTe', 'Lu8Te', 'VTe', 'K2Te', 'Mn3Te', 'LuTe', 'Co3Te', 'UTe', 'TeI2', 'GdTe', 'SnTe', 'TeO3', 'TeI', 'TeBr4', 'KTe', 'ThTe', 'YbTe', 'TeN2', 'Ag2Te', 'Mg5Te', 'Sb2Te', 'Hf2Te', 'Zr3Te', 'TeBr2', 'HgTe', 'SmTe', 'TeMo6', 'TePd', 'NiTe', 'NbTe', 'TbTe', 'Bi2Te', 'MnTe', 'TePd4', 'CuTe', 'Li3Te', 'TeBr6', 'Cu2Te', 'EuTe', 'TeO6', 'TeCl4', 'TeS3', 'Cd3Te', 'ScTe', 'Pa3Te', 'Sc3Te', 'ZnTe', 'Ga3Te', 'TeF4', 'NpTe', 'Cu3Te', 'TePt', 'Ge3Te', 'NdTe', 'Eu3Te', 'PrTe', 'TmTe', 'TeI4', 'GaTe', 'TePb3', 'LaTe', 'Ni3Te', 'Tl2Te', 'ReTe', 'YTe', 'InTe', 'TePd3', 'RbTe', 'ZrTe', 'Fe3Te', 'FeTe', 'TeIr', 'Sn3Te', 'PuTe', 'Mg149Te', 'TePb', 'SrTe', 'TeAs', 'CoTe', 'Te', 'TeO', 'Tb3Te', 'Mg3Te', 'Tc3Te', 'TeRh', 'CaTe', 'SbTe', 'CeTe', 'TeSe', 'ErTe', 'CrTe', 'TeF6', 'CdTe', 'TeO2', 'Rb2Te']",Non-metal
I,Iodine,1811,53,126.904,[Kr] 4d¹⁰5s²5p⁵,I-127,solid,113.7,236.66,386.85,184.3,4.933,Purple-black crystals,Low,Brittle,High,2.66,10.451,1,-1;+1;+5;+7,133.0,Halogen,Low (I-129),Stable,I-129: 1.57×10⁷ years,Diamagnetic,-4.5×10⁻⁵ cm³/mol,Purple vapor,500–600 nm (broad),Thyroid hormone,Volatile; bioaccumulates,Diatomic (I₂),Cmce,174.11598837963092,"['Ag4SI', 'AgI', 'LuIO', 'Na5IO6', 'RbI', 'SbTeI', 'PrIO', 'I', 'K3IO5', 'IN2', 'Bi5IO7', 'TbIO9', 'LaCI', 'HgI', 'NaIO2', 'HI', 'NpIO', 'Ag2IO5', 'Rb2IN3', 'Pm3I', 'Sb4IO6', 'Ta3Se12I', 'Mg16Al12I', 'Te7As5I', 'HoIO9', 'TeI', 'SmI', 'ICl', 'SrIF', 'Mg149I', 'IF3', 'IBr2', 'Co5Sb15I', 'Pr3I', 'BiIO', 'Mo3I', 'IF5', 'CdIO9', 'Pd3I', 'Gd3I', 'H5IO6', 'KI', 'CuI', 'PuIO', 'PmI', 'IO6', 'TmIO', 'NaI', 'Ce3I', 'Bi2IBr', 'Pu2IO10', 'Cu2IO3', 'Ba2P7I', 'LaI', 'H4IN', 'ScIO', 'CIF5', 'Co3I', 'KIO3', 'NdIO', 'TePdI', 'ICl2', 'IF7', 'SrHI', 'Mn3I', 'SmIO9', 'IO3', 'CsI', 'Zr3I', 'VIO4', 'CaHI', 'BiI', 'Ag3SI', 'Nd3I', 'YCI', 'YIO', 'PH4I', 'CI', 'LiIO', 'Ac3I', 'Sm3I', 'LiI', 'AuI', 'Pb2IO2', 'LaIO', 'YIO9', 'IN5', 'PICl6', 'BaIF', 'ICl3', 'Ca2PI', 'NiI', 'LiIO5', 'Te2I', 'ThIN', 'C3IN', 'IN4', 'IrI', 'InI', 'Cs3I', 'UIN', 'Nb3Se12I', 'IBr', 'KIO2', 'Ni3I', 'TlI', 'EuIO', 'Hf3I', 'IO2', 'BaHI', 'B5I', 'CaI', 'IN', 'HoIO', 'Tc3Se4I', 'Sb3IO4', 'B10H13I', 'HIN2', 'RhI', 'PbIF', 'VIO7', 'TiI', 'Sm2IO2', 'Nb3I', 'SmIO', 'LaIO3', 'NaIO4', 'YI', 'Pu3I', 'VI', 'Bi4I', 'Ru3I', 'IN3', 'RuI']",Non-metal
Xe,Xenon,1898,54,131.293,[Kr] 4d¹⁰5s²5p⁶,Xe-132;Xe-129,gas,-111.75,-169.15,161.4,-108.12,0.005844,Colorless gas,Unknown,Unknown,Very low,1.725,12.13,0,0,108.0,Noble gas,Low (Xe-135),Stable,Xe-135: 9.1 h,Diamagnetic,-4.3×10⁻⁸ cm³/mol,Blue glow discharge,467.1 nm,Anesthetics,Inert; some compounds,Monatomic,R-3m,85.78650724921306,"['OsXeO3F8', 'Te4Xe(OF5)4', 'ZnSb2(XeF4)6', 'Na4XeO12', 'CrXeF10', 'XeIF7', 'MgAs2(XeF5)4', 'Hg2Te4Xe3(O2F13)2', 'BaAs2Xe5F22', 'CuSb2(XeF8)2', 'AsXeF7', 'CuSb2(XeF5)4', 'HgAs2Xe5F22', 'Fe4AgAs(XeF3)2', 'AsXe(OF2)3', 'AsXe2O4F9', 'AsXeO2F7', 'Sb3Au2Xe2F19', 'Sb4Xe2F19', 'XeO3', 'ZnSb3XeF23', 'SbXeOF9', 'S2Xe(O3F)2', 'AsXe2F9', 'SrP2(XeF6)3', 'Re4Xe3(O5F7)2', 'Sb2XeF16', 'Ni(XeF7)4', 'SrAs2(XeF6)3', 'BaSb2Xe5F22', 'AsSXeNF10', 'Cs2Xe(BrF7)4', 'Te2Xe(O2F5)2', 'Hg2Sb7H2Xe3F59', 'Sb2XeF15', 'AsXe2BrOF12', 'Cr4Xe5F44', 'TcXeO4F5', 'Os2Xe(O3F5)2', 'Cr2XeF10', 'Sb2XeF13', 'Na4W8XeO6', 'HgP2Xe5F22', 'P2Pb(XeF6)3', 'RuXeF11', 'XeN2(OF4)2', 'SbIrXeF12', 'HXeF7', 'XeNO3F', 'TeAsXeO2F11', 'PtXeF11', 'HXe2F15', 'BiXeF9', 'CuSb3XeF23', 'CdP2Xe5F22', 'Fe4AgP(XeF3)2', 'Xe2NO2F13', 'CaP2Xe5F22', 'Fe4AgXeF5', 'SbXe2OF15', 'VXe2F17', 'AgP(XeF5)2', 'Xe', 'Sb2XeF14', 'OsXe2O3F14', 'SbXeF9', 'XeF3', 'KXeO3F', 'AuXe2F17', 'HXeNO3F2', 'BC6XeF11', 'Xe(OF)2', 'Sb2XeF12', 'MgAs2(XeF9)2', 'CdB2XeF10', 'WXeOF6', 'Sb3S2XeN(O2F9)2', 'BiXeF7', 'AsS2XeN2F13', 'SbXeF11', 'CuSb2(XeF4)6', 'GeXeF10', 'Ca2As4Xe5F34', 'AuXeF9', 'H42C48Xe(ClO2)3', 'Sb2AsAuXeF14', 'Sb4Au(Xe2F11)2', 'Sb2XeClF11', 'S2XeNO4F3', 'SbTe7SXeCl(OF4)9', 'XeNO2F5', 'NbXeF11', 'K2Na2H16XeO14', 'CsXe3O3F13', 'XeF2', 'OsXe(O2F3)2', 'Ca2As4(Xe3F14)3', 'Te2Xe(OF5)2', 'CsXeF7', 'As2Pb(XeF6)3', 'XeF6', 'MnSb3XeF23', 'Pd(XeF8)2', 'Bi2XeF12', 'Ni(XeF8)2', 'HgSb2Xe5F22', 'Sb3Au(XeF9)2', 'Sb5(XeF20)2', 'P6Pb3Xe11F58', 'CrXeF6', 'AgXeF9', 'SbXe2F9', 'CdAs2(XeF5)4', 'XeF4', 'SXeO3F2', 'AgAs(XeF5)2', 'CaAs2(XeF5)4', 'K4XeO15', 'MgSb3XeF23', 'BC10XeF17', 'HgSb3XeF17', 'TeAsHXeNF11', 'BaP2(XeF5)4', 'LiAs(XeF4)3', 'AsXe2OF10', 'BaRu2Xe5F22', 'AsXeF11', 'BaNb2Xe5F22', 'Nd2As6Xe5F46', 'CoSb3XeF23', 'Sb2Au(XeF6)2', 'RuXeF7', 'SbXeF7', 'Na4XeO14', 'MgAs2(XeF8)2', 'AsSXe2(OF3)3', 'NiSb3XeF23', 'SbXeO2F7']",Non-metal
Cs,Cesium,1860,55,132.905,[Xe] 6s¹,Cs-133;Cs-137,solid,28.44,83.19200000000001,301.59,671.0,1.93,Silvery-golden,High,Soft,High,0.79,3.894,1,1,265.0,Alkali metal,Low (Cs-137),Cs-137: 30.17 years,Unknown,Paramagnetic,+3.4×10⁻⁵ cm³/mol,Violet,852.1 nm,Atomic clocks,Highly soluble; fallout,Unknown,I4/mmm,983.1042254716456,"['CsAc', 'CsV5Se8', 'CsMg15', 'CsPb2Cl5', 'CsC8', 'CsB', 'CsIn5S8', 'Cs(CO)2', 'CsPr3', 'CsTh', 'CsAc3', 'CsMg7', 'CsNdTe4', 'CsY', 'CsEu3', 'CsPm', 'CsHo3', 'CsU2F9', 'CsAl', 'CsV5S8', 'CsMg6Nb', 'CsK2', 'CsBa3', 'CsO3', 'CsAuC2', 'CsYb3', 'CsLi3F4', 'CsBeH3', 'CsTaN2', 'CsP7', 'CsSnF3', 'Cs(Bi2Te3)2', 'CsCrCl3', 'CsBr', 'CsZn8', 'CsHg2', 'CsNaF3', 'CsGa3', 'CsGe', 'CsRb', 'CsTe4', 'CsK3', 'CsBi4Se7', 'CsSnI3', 'CsDyBr3', 'CsSn3', 'CsSO4', 'CsCa3', 'CsV3O8', 'CsHg5Cl11', 'CsSb', 'CsCl', 'CsIr', 'CsCr5S8', 'CsMg3', 'CsSe', 'CsCu4Se3', 'Cs(CrS2)2', 'CsMnAs', 'CsBO6', 'CsHg3', 'CsMnTe2', 'CsMnSe2', 'Cs(MoO3)3', 'CsBr3', 'CsGd', 'CsN3', 'CsK', 'CsC', 'CsCr5Te8', 'CsTe7', 'CsZn4As3', 'CsAsO4', 'CsS', 'CsGa7', 'CsSeBr3', 'CsCd13', 'CsTi5Se8', 'CsPa3', 'CsN2', 'CsHo', 'CsI', 'CsHg', 'CsNp3', 'CsSrCl3', 'CsCoF4', 'CsNd', 'CsCr5Se8', 'CsAg3S2', 'Cs', 'CsAg3Te2', 'CsF', 'CsCu5S3', 'CsSi', 'CsCd4As3', 'CsC15', 'CsRb3', 'CsTi2Cl7', 'CsEu', 'CsPO4', 'CsTe', 'CsPbCl3', 'CsBi2', 'CsAg3Se2', 'CsLa', 'CsMg149', 'CsSr3', 'CsC10', 'CsMg6Ti', 'CsH3', 'CsNa2', 'CsAu', 'CsHg2Br5', 'CsPuO3', 'CsClO3', 'CsBi', 'CsLi2Br3', 'CsPb3', 'CsGdTe4', 'CsK2Pt', 'CsLa3', 'CsI3', 'CsZn4P3', 'CsFe4As3', 'CsHF2', 'CsTlO', 'CsBr2F', 'CsIn3', 'CsN', 'CsH', 'CsNd3', 'CsCu4S3', 'CsSn', 'CsSe4', 'CsHgCl3', 'CsO2', 'CsTmBr3', 'CsCe', 'CsS3', 'CsLi2I3', 'CsPSe6', 'CsNa3', 'CsI4']",Metal
Ba,Barium,1808,56,137.327,[Xe] 6s²,Ba-138;Ba-137,solid,727.0,1340.6,1000.15,1870.0,3.51,Silvery-white,High,Malleable,Moderate,0.89,5.212,2,2,217.0,Alkaline earth,Low (Ba-133),Stable,Unknown,Paramagnetic,+2.0×10⁻⁵ cm³/mol,Green flame,553.6 nm,Bone scans (Ba-133),Soluble salts,Unknown,Im-3m,129.9981809751681,"['BaEu3', 'BaTb', 'BaN2', 'BaAu', 'BaSn5', 'BaSb2', 'BaGe6', 'BaPt', 'BaCe', 'BaTe', 'BaC', 'BaPm3', 'BaB6', 'BaAc3', 'BaO10', 'BaMg149', 'BaS3', 'BaCd3', 'BaC6', 'BaRh2', 'BaNd', 'BaZn', 'BaP10', 'BaTh3', 'BaGe2', 'BaTl4', 'BaCu13', 'BaPt2', 'BaTe3', 'BaSi', 'BaO6', 'BaSn2', 'BaTh', 'BaCd', 'BaPt5', 'BaHg', 'BaCa', 'BaSe', 'BaSr4', 'BaMg15', 'BaGe3', 'BaPm', 'BaSi2', 'BaMg2', 'BaHg11', 'BaCl2', 'BaNa', 'BaHg3', 'BaAu5', 'BaF2', 'BaBr3', 'BaSb3', 'BaN6', 'BaC2', 'BaF3', 'BaAl4', 'BaP3', 'Ba', 'BaBi5', 'K3Ba', 'BaS', 'BaTe2', 'BaPr', 'BaBe13', 'BaCe3', 'BaP8', 'BaRe3', 'BaGa4', 'BaPa3', 'BaS2', 'BaLa3', 'BaAs3', 'BaHg2', 'BaCa3', 'BaSi23', 'BaPb3', 'BaCd11', 'Rb3Ba', 'BaSn3', 'BaAl', 'BaTl3', 'BaI2', 'BaIn4', 'BaPd2', 'BaLi4', 'BaC10', 'BaDy', 'BaO2', 'BaAu2', 'BaP2', 'BaFe12', 'BaMg3', 'BaBr2', 'BaAg', 'BaPd', 'BaCu', 'BaTl2', 'BaMn28', 'BaSe2', 'BaAg5', 'BaMg7', 'BaO4', 'BaO5', 'BaBi3', 'BaSe3', 'BaZn13', 'BaH2', 'BaSr3', 'BaMg', 'BaSm3', 'BaAg2', 'BaC20', 'BaAl2', 'BaN', 'BaO3', 'BaGa2', 'BaYb3', 'BaPd5', 'BaNa2', 'BaO', 'BaHg6']",Metal
La,Lanthanum,1839,57,138.905,[Xe] 5d¹6s²,La-139;La-138,solid,920.0,1688,1193.15,3464.0,6.162,Silvery-white,High,Malleable,Moderate,1.1,5.577,3,3,187.0,Lanthanide,Low (La-138),Stable,Unknown,Paramagnetic,+1.2×10⁻⁴ cm³/mol,Blue,394.0 nm,"Alloys, catalysts",Low solubility,Unknown,P6_3/mmc,150.28863578550227,"['LaC', 'LaP3', 'LaCe', 'LaTh', 'LaMg12', 'NaLa', 'LaSn3', 'LaAl2', 'LaGa2', 'LaMg2', 'LaN', 'LaCe4', 'LaOs2', 'LaBe13', 'LaCd2', 'LaGa6', 'LaSi10', 'LaY3', 'LaIn3', 'LaNp3', 'LaAl3', 'LaSi2', 'CaLa', 'LaF', 'LaS', 'LaPr3', 'LaCd3', 'Ba3La', 'LaY', 'LaCu5', 'LaPt3', 'LaAs2', 'LaZn3', 'LaMg7', 'LaRu2', 'Li3La', 'LaB4', 'La', 'LaCu4', 'LaPt5', 'LaNi5', 'LaSm3', 'LaTa3', 'LaTl', 'LaB6', 'Sr3La', 'LaTe2', 'LaCl', 'LaEr3', 'LaSe2', 'LaCl3', 'LaCo', 'LaHg2', 'LaSe', 'AcLa', 'LaI', 'LaDy', 'LaH20', 'LaHg', 'LaZn13', 'LaCe3', 'LaMg3', 'LaPm3', 'LaPd2', 'LaTb3', 'LaPb2', 'LaN3', 'LaBi', 'LaBi3', 'LaAg5', 'LaC2', 'LaO', 'LaGe2', 'LaPu3', 'LaZn11', 'LaP', 'LaMg15', 'LaAs3', 'LaGd3', 'LaCu13', 'LaO2', 'LaPd3', 'LaAu3', 'LaZn', 'LaO3', 'LaTe', 'LaFe9', 'CsLa', 'Ac3La', 'LaZn5', 'LaIr3', 'LaIn', 'LaCu2', 'LaSi5', 'LaIr2', 'LaSb', 'LaP5', 'LaF2', 'LaNi2', 'LaAs', 'LaMg', 'LaNd3', 'LaPt2', 'LaH2', 'LaIr5', 'LaSe3', 'LaAg3', 'LaCu6', 'LaTl3', 'LaCo5', 'LaU3', 'LaYb3', 'LaPd5', 'LaCd11', 'LaBr3', 'LaCo13', 'LaF3', 'LaRh3', 'LaS2', 'LaAg', 'LaRh2', 'LaNi3', 'LaP7', 'LaH3', 'LaV', 'LaI2', 'LaBr', 'LaAl4', 'LaHg3', 'LaPb3', 'LaCd', 'Na3La', 'LaCo2', 'LaBr2']",Metal
Ce,Cerium,1803,58,140.116,[Xe] 4f¹5d¹6s²,Ce-140;Ce-142,solid,799.0,1470.2,1072.15,3443.0,6.77,Silvery-white,High,Malleable,Moderate,1.12,5.539,"3,4",+3;+4,181.0,Lanthanide,Low (Ce-144),Stable,Ce-144: 284.9 days,Paramagnetic,+2.5×10⁻⁴ cm³/mol,Red,418.7 nm,Catalytic converters,Low solubility,"α, β, γ",Fm-3m,25.50164500404376,"['CeMg', 'Ba3Ce', 'BaCe', 'LaCe', 'La3Ce', 'CeI3', 'CePu', 'CeB4', 'CeDy3', 'CeTl', 'CeEr3', 'CePm3', 'CeEr', 'CeH3', 'Tb3Ce', 'CeF4', 'CeF3', 'Tb2Ce', 'CeBi', 'CeMg2', 'CeS3', 'CeTh', 'CePr3', 'CeAg', 'CeS2', 'CePb2', 'CeSi2', 'CeIr3', 'CeCo5', 'CeO2', 'CeSb', 'CeCl3', 'CeBi3', 'CeTm3', 'CeZn5', 'CeFe5', 'CeCu5', 'CePd2', 'CeMg5', 'K3Ce', 'CeIr5', 'CeLu3', 'CeCu6', 'CeCo3', 'CeS', 'CeSe2', 'CeNi5', 'CeTe2', 'CePt5', 'CeOs2', 'CeGa2', 'CeP2', 'CePd5', 'CeGa6', 'CeO3', 'Ac3Ce', 'CeMg7', 'CeAl4', 'CeZn11', 'CeMg3', 'CeCd', 'CeP3', 'CeCd2', 'CeHg2', 'CeC2', 'CeP5', 'CeGe2', 'CeBr3', 'CeMg12', 'CeAg2', 'CeMg15', 'CePu4', 'CsCe', 'CeY', 'CeAu6', 'Ce', 'CeY3']",Metal
Pr,Praseodymium,1885,59,140.908,[Xe] 4f³6s²,Pr-141,solid,931.0,1707.8,1204.15,3520.0,6.773,Silvery-yellow,High,Malleable,Moderate,1.13,5.473,3,+3;+4,182.0,Lanthanide,Unknown,Stable,Unknown,Paramagnetic,+3.6×10⁻⁴ cm³/mol,Green,495.1 nm,"Magnets, glass coloring",Low solubility,"α, β",Fm-3m,223.68793247843672,"['PrP5', 'PrPd2', 'PrAl', 'PrRe2', 'PrDy3', 'PrSm', 'K3Pr', 'PrMg149', 'PrO3', 'PrCu2', 'PrSi', 'PrPt', 'PrPd3', 'PrNi2', 'Tb2Pr', 'PrMg12', 'PrNi5', 'PrW3', 'PrNd', 'PrLu3', 'PrHg', 'PrIn3', 'PrBi', 'PrSb', 'PrAg2', 'Ac3Pr', 'PrNi', 'PrCd6', 'PrPd5', 'PrCu5', 'PrN', 'PrNi3', 'PrZn5', 'PrIr3', 'PrAu', 'Rb3Pr', 'PrRh', 'PrAu6', 'PrH', 'PrAs', 'PrNd3', 'PrAl2', 'PrZn3', 'PrB6', 'PrB4', 'PrAs2', 'PrSb3', 'PrS2', 'PrCo5', 'PrGe3', 'PrSe', 'PrI3', 'PrO2', 'PrFe2', 'Pr(WO3)2', 'PrMg3', 'PrCd3', 'PrSm3', 'PrPt3', 'PrCl3', 'PrPb2', 'PrAl4', 'PrAg', 'PrMg2', 'PrH3', 'PrAu2', 'PrHo', 'BaPr', 'PrSn2', 'PrAs3', 'PrPt2', 'PrTe3', 'PrMn2', 'PrGe2', 'Na3Pr', 'PrO', 'Pm3Pr', 'PrSi2', 'PmPr', 'PrI6', 'PrRh2', 'NaPrF4', 'PrIn', 'PrP', 'PrSn3', 'PrAl22O34', 'PrZn2', 'PrEu3', 'PrCd', 'PrH2', 'PrY', 'PrZn', 'Ba3Pr', 'PrTe', 'PrN2', 'PrEr3', 'PrHg3', 'Li3Pr', 'PrIr2', 'PrTm3', 'PrPb3', 'PrF3', 'PrCd2', 'Pr', 'PrTe2', 'PrCu6', 'PrPd', 'PrBe13', 'PrMg', 'PrGa', 'PrBr3', 'PrS3', 'PrS', 'PrGe5', 'PrGe', 'PrCu', 'PrTl3', 'PrSb2', 'PrGa3', 'Yb3Pr', 'PrGa2', 'PrTh', 'Tb3Pr', 'PrCo2', 'PrBi3', 'PrRu2', 'PrY3', 'PrB12', 'PrCo3', 'Pr(MoO3)2', 'PrOs2', 'PrB3', 'PrP2', 'PrMo3', 'PrAl3', 'PrHo3', 'PrTl', 'PrZn11', 'PrSe2', 'PrI2', 'PrC2', 'PrPt5', 'PrGa6', 'PrCd11']",Metal
Nd,Neodymium,1885,60,144.242,[Xe] 4f⁴6s²,Nd-142;Nd-144,solid,1021.0,1869.8,1294.15,3074.0,7.007,Silvery-white,High,Malleable,Moderate,1.14,5.525,3,3,181.0,Lanthanide,Low (Nd-144),Stable,Unknown,Paramagnetic,+4.6×10⁻⁴ cm³/mol,Violet,580.2 nm,"Nd:YAG lasers, magnets",Low solubility,"α, β",P6_3/mmc,141.84503754978965,"['NdGd3', 'NdH2', 'NdCu5', 'NdI2', 'NdPt2', 'NdB6', 'NdGd2', 'Pm3Nd', 'NdAs2', 'PmNd', 'NdCo', 'NdHg', 'NdO3', 'NdTl', 'PrNd', 'NdHf', 'NdSc3', 'NdAg2', 'BaNd', 'NdRh2', 'NdRu2', 'NdOs2', 'NdMn12', 'NdPd3', 'Nd', 'NdPd2', 'NdHo3', 'NdMg2', 'NdSm3', 'NdIr2', 'NdAs3', 'NdTh3', 'NdPa3', 'NdP2', 'NdBr2', 'NdP', 'Li3Nd', 'NdS2', 'NdTc3', 'NdTe2', 'NdEr3', 'NdB4', 'NdLu3', 'NdS3', 'NdAu', 'NdSe2', 'NdSe', 'Ca3Nd', 'NdB12', 'NdCd2', 'NdRe2', 'Yb3Nd', 'NdIn3', 'Ac3Nd', 'NdDy', 'NdAs', 'NdCo5', 'NdCd3', 'NdMg3', 'NdCu', 'NdGa', 'NdZn5', 'KNd', 'NdCl2', 'NdIn', 'NdCd', 'NdAg', 'NdAu6', 'NdEu3', 'NdAu3', 'NdRu3', 'NdMn2', 'NdTe', 'CsNd', 'NdP3', 'NdPb3', 'TbNd', 'NdAl4', 'NdSn3', 'Ba3Nd', 'NdZn3', 'NdMg149', 'NdNi5', 'NdBe13', 'Sr3Nd', 'NdCo2', 'NdNi2', 'NdF3', 'NdNi3', 'NdBr3', 'NdDy3', 'NdCu6', 'NdGa3', 'NdCl3', 'NdPt3', 'NdPt', 'NdCd11', 'NdI3', 'NdY3', 'La3Nd', 'NdZr', 'NdBi', 'NdGa2', 'NdAl2', 'NdZn', 'NdCo3', 'NdAg3', 'NdTh', 'NdO2', 'NdTm', 'NdGe', 'NdN', 'NdGe2', 'NdFe5', 'Tb3Nd', 'NdMg12', 'NdRh3', 'NdAl', 'Na3Nd', 'NdHg3', 'NdFe2', 'NdSi', 'NdTm3', 'K3Nd', 'NdO', 'Pr3Nd', 'NdPu3', 'Rb3Nd', 'NdIr5', 'NdC2', 'NdIr3', 'NdP5', 'NdGa6', 'NdH3', 'NdAl3', 'NdMg', 'NdTl3', 'NdSi2', 'NdHg2', 'NdTa3', 'NdGe3', 'NdPt5', 'NdSb', 'NdZn11', 'NdS']",Metal
